name,yelp_url,menupages_url
Salonica Restaurant,http://www.yelp.com/biz/salonica-restaurant-chicago,http://chicago.menupages.com/restaurants/salonica/
Ribs N Bibs,http://www.yelp.com/biz/ribs-n-bibs-chicago,http://chicago.menupages.com/restaurants/ribs-n-bibs/
Nathan's Chicago Style,http://www.yelp.com/biz/nathans-chicago-style-catering-chicago,http://chicago.menupages.com/restaurants/nathans-chicago-style/
Hyde Park Gyros,http://www.yelp.com/biz/hyde-park-gyros-chicago,http://chicago.menupages.com/restaurants/hyde-park-gyros/
Morry's Deli,http://www.yelp.com/biz/morrys-deli-chicago,http://chicago.menupages.com/restaurants/morrys-deli/
Mellow Yellow ,http://www.yelp.com/biz/mellow-yellow-chicago,http://chicago.menupages.com/restaurants/mellow-yellow/
Chant,http://www.yelp.com/biz/chant-chicago,http://chicago.menupages.com/restaurants/chant/
Shinju Sushi,http://www.yelp.com/biz/shinju-sushi-chicago,http://chicago.menupages.com/restaurants/shinju-sushi/
Giordano's,http://www.yelp.com/biz/giordanos-chicagos-world-famous-stuffed-pizza-chicago,http://chicago.menupages.com/restaurants/giordanos-7/
Silver Spoon,http://www.yelp.com/biz/silver-spoon-restaurant-chicago,http://chicago.menupages.com/restaurants/silver-spoon/
Medici on 57th,http://www.yelp.com/biz/medici-on-57th-chicago,http://chicago.menupages.com/restaurants/medici/
Bar Louie,http://www.yelp.com/biz/bar-louie-chicago-3,http://chicago.menupages.com/restaurants/bar-louie-5/
Bonjour Café Bakery,http://www.yelp.com/biz/bonjour-cafe-bakery-chicago,http://chicago.menupages.com/restaurants/bonjour-bakery-cafe/
Calypso Café,http://www.yelp.com/biz/calypso-cafe-chicago,http://chicago.menupages.com/restaurants/calypso-cafe/
Cedars Mediterranean Kitchen,http://www.yelp.com/biz/cedars-mediterranean-kitchen-chicago,http://chicago.menupages.com/restaurants/cedars/
Edwardo's Natural Pizza,http://www.yelp.com/biz/edwardos-of-hyde-park-chicago,http://chicago.menupages.com/restaurants/edwardos-natural-pizza-2/
HomeMade Pizza Co,http://www.yelp.com/biz/homemade-pizza-co-chicago-3,http://chicago.menupages.com/restaurants/homemade-pizza-co-4/
La Petite Folie,http://www.yelp.com/biz/la-petite-folie-chicago,http://chicago.menupages.com/restaurants/la-petite-folie/
Cholie's Pizza,http://www.yelp.com/biz/cholies-pizza-chicago-3,http://chicago.menupages.com/restaurants/cholies-pizza/
Kikuya Japanese Restaurant,http://www.yelp.com/biz/kikuya-japanese-restaurant-chicago,http://chicago.menupages.com/restaurants/kikuya/
Leona's,http://www.yelp.com/biz/leonas-restaurant-chicago,http://chicago.menupages.com/restaurants/leonas-6/
Maravillas,http://www.yelp.com/biz/maravillas-chicago-2,http://chicago.menupages.com/restaurants/maravillas/
Noodles Etc.,http://www.yelp.com/biz/noodles-etc-on-campus-chicago,http://chicago.menupages.com/restaurants/noodles-etc/
Original Pancake House,http://www.yelp.com/biz/the-original-pancake-house-chicago,http://chicago.menupages.com/restaurants/original-pancake-house-2/
Park 52,http://www.yelp.com/biz/park-52-chicago,http://chicago.menupages.com/restaurants/park-52/
Pepe's Mexican Restaurant,http://www.yelp.com/biz/pepes-mexican-food-chicago,http://chicago.menupages.com/restaurants/pepes-mexican-restaurant-2/
Piccolo Mondo,http://www.yelp.com/biz/piccolo-mondo-chicago,http://chicago.menupages.com/restaurants/piccolo-mondo/
Pizza Capri,http://www.yelp.com/biz/pizza-capri-chicago-3,http://chicago.menupages.com/restaurants/pizza-capri-3/
Pockets,http://www.yelp.com/biz/pockets-chicago-7,http://chicago.menupages.com/restaurants/pockets-7/
Potbelly Sandwich Works,http://www.yelp.com/biz/potbelly-chicago,http://chicago.menupages.com/restaurants/potbelly-sandwich-works-22/
Rajun Cajun,http://www.yelp.com/biz/rajun-cajun-chicago,http://chicago.menupages.com/restaurants/rajun-cajun/
Sammy's Touch,http://www.yelp.com/biz/sammys-touch-chicago-2,http://chicago.menupages.com/restaurants/sammys-touch/
Seoul Corea,http://www.yelp.com/biz/seoul-corea-chicago,http://chicago.menupages.com/restaurants/seoul-corea/
Seven Ten Lanes,http://www.yelp.com/biz/seven-ten-lanes-chicago,http://chicago.menupages.com/restaurants/seven-ten-lanes/
Siam Restaurant,http://www.yelp.com/biz/siam-restaurant-chicago-2,http://chicago.menupages.com/restaurants/siam/
Thai 55,http://www.yelp.com/biz/thai-55th-restaurant-chicago-2,http://chicago.menupages.com/restaurants/thai-55/
The Big Easy,http://www.yelp.com/biz/the-big-easy-chicago,http://chicago.menupages.com/restaurants/the-big-easy/
The Nile,http://www.yelp.com/biz/the-nile-restaurant-chicago,http://chicago.menupages.com/restaurants/the-nile/
The Sit Down Café & Sushi,http://www.yelp.com/biz/the-sit-down-cafe-and-sushi-bar-chicago,http://chicago.menupages.com/restaurants/the-sit-down-cafe-sushi-bar/
The Snail Thai Cuisine,http://www.yelp.com/biz/the-snail-thai-cuisine-chicago,http://chicago.menupages.com/restaurants/the-snail/
Valois Restaurant,http://www.yelp.com/biz/valois-chicago,http://chicago.menupages.com/restaurants/valois-restaurant/
Wok n' Roll,http://www.yelp.com/biz/wok-n-roll-chicago,http://chicago.menupages.com/restaurants/wok-n-roll/
Zaleski & Horvath MarketCafe,http://www.yelp.com/biz/zaleski-and-horvath-marketcafe-chicago-3,http://chicago.menupages.com/restaurants/zaleski-horvath-marketcafe-2/
Ann Sather,http://www.yelp.com/biz/ann-sather-chicago-2,http://chicago.menupages.com/restaurants/ann-sather-3/
Ann Sather,http://www.yelp.com/biz/ann-sather-chicago,http://chicago.menupages.com/restaurants/ann-sather-4/
Ann Sather Cafe,http://www.yelp.com/biz/ann-sathers-chicago-2,http://chicago.menupages.com/restaurants/ann-sather/
Ann Sather Cafe,http://www.yelp.com/biz/ann-sather-restaurant-chicago,http://chicago.menupages.com/restaurants/ann-sather-2/
Arun's,http://www.yelp.com/biz/aruns-thai-restaurant-chicago,http://chicago.menupages.com/restaurants/aruns/
Avec,http://www.yelp.com/biz/avec-chicago,http://chicago.menupages.com/restaurants/avec/
Ben Pao,http://www.yelp.com/biz/ben-pao-chicago,http://chicago.menupages.com/restaurants/ben-pao/
Bin 36,http://www.yelp.com/biz/bin-36-chicago,http://chicago.menupages.com/restaurants/bin-36/
Bistro 110,http://www.yelp.com/biz/bistro-110-chicago,http://chicago.menupages.com/restaurants/bistro-110/
Bistrot Zinc,http://www.yelp.com/biz/bistrot-zinc-chicago,http://chicago.menupages.com/restaurants/bistrot-zinc/
Blackbird,http://www.yelp.com/biz/blackbird-chicago,http://chicago.menupages.com/restaurants/blackbird/
BOKA,http://www.yelp.com/biz/boka-chicago,http://chicago.menupages.com/restaurants/boka/
Bongo Room,http://www.yelp.com/biz/the-bongo-room-chicago,http://chicago.menupages.com/restaurants/bongo-room/
Bongo Room,http://www.yelp.com/biz/bongo-room-chicago,http://chicago.menupages.com/restaurants/bongo-room-2/
The Bristol,http://www.yelp.com/biz/the-bristol-chicago,http://chicago.menupages.com/restaurants/the-bristol/
Cafe 28,http://www.yelp.com/biz/cafe-28-chicago,http://chicago.menupages.com/restaurants/cafe-28/
Cafe Ba Ba Reeba!,http://www.yelp.com/biz/cafe-ba-ba-reeba-chicago,http://chicago.menupages.com/restaurants/cafe-ba-ba-reeba/
Cafe Spiaggia,http://www.yelp.com/biz/cafe-spiaggia-chicago-2,http://chicago.menupages.com/restaurants/cafe-spiaggia/
Carmine's,http://www.yelp.com/biz/carmines-chicago,http://chicago.menupages.com/restaurants/carmines/
Carnivale,http://www.yelp.com/biz/carnivale-chicago-2,http://chicago.menupages.com/restaurants/carnivale/
Carson's,http://www.yelp.com/biz/carsons-ribs-and-steaks-downtown-chicago,http://chicago.menupages.com/restaurants/carsons/
Catch 35,http://www.yelp.com/biz/catch35-chicago,http://chicago.menupages.com/restaurants/catch-thirty-five/
Chalkboard,http://www.yelp.com/biz/chalkboard-chicago,http://chicago.menupages.com/restaurants/chalkboard/
Chicago Chop House,http://www.yelp.com/biz/chicago-chop-house-chicago,http://chicago.menupages.com/restaurants/chicago-chop-house/
Chief O'Neill's Pub,http://www.yelp.com/biz/chief-oneills-pub-and-restaurant-chicago,http://chicago.menupages.com/restaurants/chief-oneills-pub/
Crofton on Wells,http://www.yelp.com/biz/crofton-on-wells-chicago,http://chicago.menupages.com/restaurants/crofton-on-wells/
Erwin,http://www.yelp.com/biz/erwin-chicago,http://chicago.menupages.com/restaurants/erwin/
Ethiopian Diamond,http://www.yelp.com/biz/ethiopian-diamond-restaurant-chicago,http://chicago.menupages.com/restaurants/ethiopian-diamond/
Ethiopian Diamond,http://www.yelp.com/biz/ethiopian-diamond-restaurant-and-bar-chicago,http://chicago.menupages.com/restaurants/ethiopian-diamond/
Everest,http://www.yelp.com/biz/everest-chicago,http://chicago.menupages.com/restaurants/everest/
Frontera Grill,http://www.yelp.com/biz/frontera-grill-chicago,http://chicago.menupages.com/restaurants/frontera-grill/
The Gage,http://www.yelp.com/biz/the-gage-chicago,http://chicago.menupages.com/restaurants/the-gage/
Gene & Georgetti,http://www.yelp.com/biz/gene-and-georgetti-chicago,http://chicago.menupages.com/restaurants/gene-georgetti/
Gibsons Bar & Steakhouse,http://www.yelp.com/biz/gibsons-bar-and-steakhouse-chicago,http://chicago.menupages.com/restaurants/gibsons-steakhouse/
Girl and the Goat,http://www.yelp.com/biz/girl-and-the-goat-chicago,http://chicago.menupages.com/restaurants/girl-the-goat/
Goose Island Brewpub,http://www.yelp.com/biz/goose-island-wrigleyville-chicago,http://chicago.menupages.com/restaurants/goose-island-brew-pub-2/
Goose Island Brewpub,http://www.yelp.com/biz/goose-island-brewpub-chicago,http://chicago.menupages.com/restaurants/goose-island-brew-pub/
Graham Elliot,http://www.yelp.com/biz/graham-elliot-chicago,http://chicago.menupages.com/restaurants/graham-elliot/
Green Zebra,http://www.yelp.com/biz/green-zebra-chicago,http://chicago.menupages.com/restaurants/green-zebra/
Heaven on Seven,http://www.yelp.com/biz/heaven-on-seven-on-wabash-chicago,http://chicago.menupages.com/restaurants/heaven-on-seven-2/
Heaven on Seven,http://www.yelp.com/biz/heaven-on-seven-chicago,http://chicago.menupages.com/restaurants/heaven-on-seven/
Hopleaf,http://www.yelp.com/biz/hopleaf-bar-chicago,http://chicago.menupages.com/restaurants/hopleaf/
Hot Chocolate,http://www.yelp.com/biz/hot-chocolate-chicago,http://chicago.menupages.com/restaurants/hot-chocolate/
Hot Doug's,http://www.yelp.com/biz/hot-dougs-chicago,http://chicago.menupages.com/restaurants/hot-dougs/
Hugo's Frog Bar & Fish House,http://www.yelp.com/biz/hugos-frog-bar-chicago,http://chicago.menupages.com/restaurants/hugos-frog-bar-fish-house/
India House,http://www.yelp.com/biz/india-house-restaurant-chicago-2,http://chicago.menupages.com/restaurants/india-house/
Japonais,http://www.yelp.com/biz/japonais-restaurant-chicago,http://chicago.menupages.com/restaurants/japonais/
Keefer's,http://www.yelp.com/biz/keefers-restaurant-chicago,http://chicago.menupages.com/restaurants/keefers/
Kiki's Bistro,http://www.yelp.com/biz/kikis-bistro-chicago,http://chicago.menupages.com/restaurants/kikis-bistro/
Kuma's Corner,http://www.yelp.com/biz/kumas-corner-chicago,http://chicago.menupages.com/restaurants/kumas-corner/
L2O,http://www.yelp.com/biz/l2o-chicago,http://chicago.menupages.com/restaurants/kumas-corner/
La Cantina,http://www.yelp.com/biz/la-cantina-chicago,http://chicago.menupages.com/restaurants/la-cantina/
