_type,_id,restaurant_id,name,description,prices,survey,ratings
,4d83cb8188a847d8a9000092,4d83c94088a847d8a9000001,Bruschetta Pomodoro,"grilled country bread, topped with garlic, tomato, oil, basil, parmesan",[6.99],,{}
,4d83cb8188a847d8a9000093,4d83c94088a847d8a9000001,Bavarian Pretzel Sticks,"trio of sauces: cinnamon butter, queso, honey mustard",[6.99],,{}
,4d83cb8188a847d8a9000094,4d83c94088a847d8a9000001,Trio Dips & Chips,"with salsa, guacamole, queso",[6.99],,{}
,4d83cb8188a847d8a9000095,4d83c94088a847d8a9000001,Chicken Nachos,"crispy tortillas with spicy cheese sauce, grilled chicken, beans, pico de gallo, jalapeños, guacamole, sour cream",[9.99],,{}
,4d83cb8188a847d8a9000096,4d83c94088a847d8a9000001,"Hummus, Tabbouleh & Tzatziki","warm pita bread, cucumbers",[7.99],,{}
,4d83cb8188a847d8a9000097,4d83c94088a847d8a9000001,Tempura Shrimp,"trio of sauces: buffalo, szechwan, thai-chili lime",[9.99],,{}
,4d83cb8188a847d8a9000098,4d83c94088a847d8a9000001,Crispy Calamari,"flour dusted, crispy fried, cocktail sauce",[9.99],,{}
,4d83cb8188a847d8a9000099,4d83c94088a847d8a9000001,Potstickers,"pan-seared pork dumplings, szechwan sauce",[7.99],,{}
,4d83cb8188a847d8a900009a,4d83c94088a847d8a9000001,Wings,"buffalo, bbq, szechwan or en fuego (warning: en fuego extremely hot, available in small orders only)",[],,{}
,4d83cb8188a847d8a900009b,4d83c94088a847d8a9000001,Spinach & Artichoke Dip,with tortilla chips,[7.99],,{}
,4d83cb8188a847d8a900009c,4d83c94088a847d8a9000001,Loaded Fries Or Tots,"queso, giardiniera, bacon, scallions",[7.99],,{}
,4d83cb8188a847d8a900009d,4d83c94088a847d8a9000001,Zucchini Chips,"crisp parmesan breading, ranch, marinara, lemon aioli sauces",[7.99],,{}
,4d83cb8188a847d8a900009e,4d83c94088a847d8a9000001,Sweet & Spicy Popcorntini,"cinnamon butter popcorn, buffalo popcorn",[3.99],,{}
